last_name,first_name,Title,State,district,years_served,link
Webster,Daniel,Representative,Florida,11th,2017-2018,https://www.govtrack.us/congress/members/daniel_webster/412410
Welch,Peter,Representative,Vermont,0,2007-2018,https://www.govtrack.us/congress/members/peter_welch/412239
Wenstrup,Brad,Representative,Ohio,2nd,2013-2018,https://www.govtrack.us/congress/members/brad_wenstrup/412564
Westerman,Bruce,Representative,Arkansas,4th,2015-2018,https://www.govtrack.us/congress/members/bruce_westerman/412610
Whitehouse,Sheldon,Senator,Rhode Island,0,2007-2018,https://www.govtrack.us/congress/members/sheldon_whitehouse/412247
Wicker,Roger,Senator,Mississippi,0,2007-2018,https://www.govtrack.us/congress/members/roger_wicker/400432
Williams,Roger,Representative,Texas,25th,2013-2018,https://www.govtrack.us/congress/members/roger_williams/412578
Wilson,Frederica,Representative,Florida,24th,2013-2018,https://www.govtrack.us/congress/members/frederica_wilson/412412
Wilson,Joe,Representative,South Carolina,2nd,2001-2018,https://www.govtrack.us/congress/members/joe_wilson/400433
Wittman,Robert,Representative,Virginia,1st,2007-2018,https://www.govtrack.us/congress/members/robert_wittman/412255
Womack,Steve,Representative,Arkansas,3rd,2011-2018,https://www.govtrack.us/congress/members/steve_womack/412402
Woodall,Rob,Representative,Georgia,7th,2011-2018,https://www.govtrack.us/congress/members/rob_woodall/412416
Wyden,Ron,Senator,Oregon,0,1996-2022,https://www.govtrack.us/congress/members/ron_wyden/300100
Yarmuth,John,Representative,Kentucky,3rd,2007-2018,https://www.govtrack.us/congress/members/john_yarmuth/412211
Yoder,Kevin,Representative,Kansas,3rd,2011-2018,https://www.govtrack.us/congress/members/kevin_yoder/412430
Yoho,Ted,Representative,Florida,3rd,2013-2018,https://www.govtrack.us/congress/members/ted_yoho/412525
Young,David,Representative,Iowa,3rd,2015-2018,https://www.govtrack.us/congress/members/david_young/412628
Young,Don,Representative,Alaska,0,1973-2018,https://www.govtrack.us/congress/members/don_young/400440
Young,Todd,Senator,Indiana,0,2017-2022,https://www.govtrack.us/congress/members/todd_young/412428
Zeldin,Lee,Representative,New York,1st,2015-2018,https://www.govtrack.us/congress/members/lee_zeldin/412646
