last_name,first_name,Title,State,district,years_served,link
Collins,Susan,Senator,Maine,0,1997-2020,https://www.govtrack.us/congress/members/susan_collins/300025
Comer,James,Representative,Kentucky,1st,2016-2018,https://www.govtrack.us/congress/members/james_comer/412676
Comstock,Barbara,Representative,Virginia,10th,2015-2018,https://www.govtrack.us/congress/members/barbara_comstock/412658
Conaway,Michael,Representative,Texas,11th,2005-2018,https://www.govtrack.us/congress/members/michael_conaway/400655
Connolly,Gerald,Representative,Virginia,11th,2009-2018,https://www.govtrack.us/congress/members/gerald_connolly/412272
Cook,Paul,Representative,California,8th,2013-2018,https://www.govtrack.us/congress/members/paul_cook/412513
Coons,Chris,Senator,Delaware,0,2010-2020,https://www.govtrack.us/congress/members/chris_coons/412390
Cooper,Jim,Representative,Tennessee,5th,2003-2018,https://www.govtrack.us/congress/members/jim_cooper/400081
Corker,Bob,Senator,Tennessee,0,2007-2018,https://www.govtrack.us/congress/members/bob_corker/412248
Cornyn,John,Senator,Texas,0,2002-2020,https://www.govtrack.us/congress/members/john_cornyn/300027
Correa,Luis,Representative,California,46th,2017-2018,https://www.govtrack.us/congress/members/luis_correa/412688
Cortez Masto,Catherine,Senator,Nevada,0,2017-2022,https://www.govtrack.us/congress/members/catherine_cortez_masto/412681
Costa,Jim,Representative,California,16th,2013-2018,https://www.govtrack.us/congress/members/jim_costa/400618
Costello,Ryan,Representative,Pennsylvania,6th,2015-2018,https://www.govtrack.us/congress/members/ryan_costello/412651
Cotton,Tom,Senator,Arkansas,0,2015-2020,https://www.govtrack.us/congress/members/tom_cotton/412508
Courtney,Joe,Representative,Connecticut,2nd,2007-2018,https://www.govtrack.us/congress/members/joe_courtney/412193
Cramer,Kevin,Representative,North Dakota,0,2013-2018,https://www.govtrack.us/congress/members/kevin_cramer/412555
Crapo,Michael,Senator,Idaho,0,1999-2022,https://www.govtrack.us/congress/members/michael_crapo/300030
Crawford,Eric “Rick”,Representative,Arkansas,1st,2011-2018,https://www.govtrack.us/congress/members/eric_crawford/412400
Crist,Charlie,Representative,Florida,13th,2017-2018,https://www.govtrack.us/congress/members/charlie_crist/412697
Crowley,Joseph “Joe”,Representative,New York,14th,2013-2018,https://www.govtrack.us/congress/members/joseph_crowley/400087
Cruz,Ted,Senator,Texas,0,2013-2018,https://www.govtrack.us/congress/members/ted_cruz/412573
Cuellar,Henry,Representative,Texas,28th,2005-2018,https://www.govtrack.us/congress/members/henry_cuellar/400657
Culberson,John,Representative,Texas,7th,2001-2018,https://www.govtrack.us/congress/members/john_culberson/400089
Cummings,Elijah,Representative,Maryland,7th,1996-2018,https://www.govtrack.us/congress/members/elijah_cummings/400090
Curbelo,Carlos,Representative,Florida,26th,2015-2018,https://www.govtrack.us/congress/members/carlos_curbelo/412621
Curtis,John,Representative,Utah,3rd,2017-2018,https://www.govtrack.us/congress/members/john_curtis/412740
Cárdenas,Tony,Representative,California,29th,2013-2018,https://www.govtrack.us/congress/members/tony_cardenas/412517
Daines,Steve,Senator,Montana,0,2015-2020,https://www.govtrack.us/congress/members/steve_daines/412549
Davidson,Warren,Representative,Ohio,8th,2016-2018,https://www.govtrack.us/congress/members/warren_davidson/412675
Davis,Danny,Representative,Illinois,7th,1997-2018,https://www.govtrack.us/congress/members/danny_davis/400093
Davis,Rodney,Representative,Illinois,13th,2013-2018,https://www.govtrack.us/congress/members/rodney_davis/412536
Davis,Susan,Representative,California,53rd,2003-2018,https://www.govtrack.us/congress/members/susan_davis/400097
DeFazio,Peter,Representative,Oregon,4th,1987-2018,https://www.govtrack.us/congress/members/peter_defazio/400100
DeGette,Diana,Representative,Colorado,1st,1997-2018,https://www.govtrack.us/congress/members/diana_degette/400101
DeLauro,Rosa,Representative,Connecticut,3rd,1991-2018,https://www.govtrack.us/congress/members/rosa_delauro/400103
DeSantis,Ron,Representative,Florida,6th,2013-2018,https://www.govtrack.us/congress/members/ron_desantis/412526
DeSaulnier,Mark,Representative,California,11th,2015-2018,https://www.govtrack.us/congress/members/mark_desaulnier/412613
DelBene,Suzan,Representative,Washington,1st,2012-2018,https://www.govtrack.us/congress/members/suzan_delbene/412505
Delaney,John,Representative,Maryland,6th,2013-2018,https://www.govtrack.us/congress/members/john_delaney/412544
Demings,Val,Representative,Florida,10th,2017-2018,https://www.govtrack.us/congress/members/val_demings/412696
Denham,Jeff,Representative,California,10th,2013-2018,https://www.govtrack.us/congress/members/jeff_denham/412403
Dent,Charles,Representative,Pennsylvania,15th,2005-2018,https://www.govtrack.us/congress/members/charles_dent/400648
DesJarlais,Scott,Representative,Tennessee,4th,2011-2018,https://www.govtrack.us/congress/members/scott_desjarlais/412477
Deutch,Theodore,Representative,Florida,22nd,2017-2018,https://www.govtrack.us/congress/members/theodore_deutch/412385
Diaz-Balart,Mario,Representative,Florida,25th,2013-2018,https://www.govtrack.us/congress/members/mario_diaz_balart/400108
Dingell,Debbie,Representative,Michigan,12th,2015-2018,https://www.govtrack.us/congress/members/debbie_dingell/412637
Doggett,Lloyd,Representative,Texas,35th,2013-2018,https://www.govtrack.us/congress/members/lloyd_doggett/400111
Donnelly,Joe,Senator,Indiana,0,2013-2018,https://www.govtrack.us/congress/members/joe_donnelly/412205
Donovan,Daniel,Representative,New York,11th,2015-2018,https://www.govtrack.us/congress/members/daniel_donovan/412672
Doyle,Michael “Mike”,Representative,Pennsylvania,14th,2003-2018,https://www.govtrack.us/congress/members/michael_doyle/400114
Duckworth,Tammy,Senator,Illinois,0,2017-2022,https://www.govtrack.us/congress/members/tammy_duckworth/412533
